GRIDID,FID_1,Id,POINT_X,POINT_Y,GRIDID_1
175142,175142,0,-82.6704953832,40.1128253797,175142
175143,175143,0,-82.6119027862,40.106572844,175143
175144,175144,0,-82.5533204338,40.1002930891,175144
175145,175145,0,-82.4947483677,40.0939861222,175145
175146,175146,0,-82.4361866299,40.0876519508,175146
175147,175147,0,-82.377635262,40.0812905822,175147
175148,175148,0,-82.3190943057,40.0749020239,175148
175149,175149,0,-82.2605638026,40.0684862833,175149
175150,175150,0,-82.2020437943,40.0620433679,175150
175151,175151,0,-82.1435343224,40.0555732852,175151
175152,175152,0,-82.0850354285,40.0490760428,175152
175153,175153,0,-82.0265471538,40.0425516481,175153
175154,175154,0,-81.9680695399,40.0360001088,175154
175155,175155,0,-81.909602628,40.0294214325,175155
175156,175156,0,-81.8511464596,40.0228156269,175156
175157,175157,0,-81.7927010758,40.0161826995,175157
175158,175158,0,-81.7342665179,40.0095226581,175158
175159,175159,0,-81.6758428271,40.0028355104,175159
175160,175160,0,-81.6174300444,39.9961212642,175160
175161,175161,0,-81.5590282109,39.9893799272,175161
175162,175162,0,-81.5006373677,39.9826115073,175162
175163,175163,0,-81.4422575558,39.9758160121,175163
175164,175164,0,-81.3838888159,39.9689934497,175164
175165,175165,0,-81.3255311891,39.9621438279,175165
175166,175166,0,-81.2671847162,39.9552671546,175166
175167,175167,0,-81.2088494379,39.9483634377,175167
175168,175168,0,-81.150525395,39.9414326851,175168
175169,175169,0,-81.092212628,39.934474905,175169
175170,175170,0,-81.0339111778,39.9274901052,175170
175171,175171,0,-80.9756210848,39.9204782937,175171
175172,175172,0,-80.9173423895,39.9134394788,175172
175173,175173,0,-80.8590751325,39.9063736684,175173
175174,175174,0,-80.8008193542,39.8992808706,175174
175175,175175,0,-80.742575095,39.8921610936,175175
175956,175956,0,-82.6622169474,40.1570141809,175956
175957,175957,0,-82.6035889276,40.1507576426,175957
175958,175958,0,-82.5449711713,40.144473869,175958
175959,175959,0,-82.4863637202,40.1381628673,175959
175960,175960,0,-82.4277666163,40.1318246449,175960
175961,175961,0,-82.3691799014,40.1254592093,175961
175962,175962,0,-82.3106036172,40.1190665679,175962
175963,175963,0,-82.2520378055,40.1126467282,175963
175964,175964,0,-82.1934825079,40.1061996976,175964
175965,175965,0,-82.1349377659,40.0997254837,175965
175966,175966,0,-82.0764036213,40.0932240941,175966
175967,175967,0,-82.0178801156,40.0866955363,175967
175968,175968,0,-81.9593672901,40.0801398179,175968
175969,175969,0,-81.9008651863,40.0735569466,175969
175970,175970,0,-81.8423738456,40.06694693,175970
175971,175971,0,-81.7838933094,40.0603097758,175971
175972,175972,0,-81.7254236189,40.0536454918,175972
175973,175973,0,-81.6669648154,40.0469540856,175973
175974,175974,0,-81.60851694,40.0402355651,175974
175975,175975,0,-81.5500800339,40.033489938,175975
175976,175976,0,-81.4916541382,40.0267172122,175976
175977,175977,0,-81.4332392939,40.0199173955,175977
175978,175978,0,-81.374835542,40.0130904957,175978
175979,175979,0,-81.3164429235,40.0062365209,175979
175980,175980,0,-81.2580614792,39.9993554788,175980
175981,175981,0,-81.1996912501,39.9924473775,175981
175982,175982,0,-81.1413322768,39.985512225,175982
175983,175983,0,-81.0829846002,39.9785500292,175983
175984,175984,0,-81.0246482609,39.9715607981,175984
175985,175985,0,-80.9663232997,39.9645445399,175985
175986,175986,0,-80.908009757,39.9575012626,175986
175987,175987,0,-80.8497076734,39.9504309744,175987
175988,175988,0,-80.7914170895,39.9433336832,175988
175989,175989,0,-80.7331380457,39.9362093974,175989
176768,176768,0,-82.712602015,40.2074367705,176768
176769,176769,0,-82.6539282902,40.2012034797,176769
176770,176770,0,-82.5952648057,40.19494293,176770
176771,176771,0,-82.5366116034,40.1886551287,176771
176772,176772,0,-82.4779687255,40.1823400831,176772
176773,176773,0,-82.4193362137,40.1759978008,176773
176774,176774,0,-82.3607141101,40.169628289,176774
176775,176775,0,-82.3021024563,40.1632315554,176775
176777,176777,0,-82.1849106656,40.1503564523,176777
176778,176778,0,-82.1263306121,40.143878098,176778
176779,176779,0,-82.0677611754,40.1373725519,176779
176780,176780,0,-82.009202397,40.1308398217,176780
176781,176781,0,-81.9506543185,40.1242799149,176781
176782,176782,0,-81.8921169815,40.1176928392,176782
176783,176783,0,-81.8335904272,40.1110786023,176783
176784,176784,0,-81.7750746973,40.1044372119,176784
176785,176785,0,-81.7165698329,40.0977686757,176785
176786,176786,0,-81.6580758755,40.0910730016,176786
176787,176787,0,-81.5995928663,40.0843501972,176787
176788,176788,0,-81.5411208464,40.0776002705,176788
176789,176789,0,-81.4826598572,40.0708232292,176789
176790,176790,0,-81.4242099395,40.0640190812,176790
176791,176791,0,-81.3657711347,40.0571878345,176791
176792,176792,0,-81.3073434835,40.0503294969,176792
176793,176793,0,-81.2489270271,40.0434440764,176793
176794,176794,0,-81.1905218063,40.036531581,176794
176795,176795,0,-81.132127862,40.0295920186,176795
176796,176796,0,-81.073745235,40.0226253973,176796
176797,176797,0,-81.0153739661,40.0156317252,176797
176798,176798,0,-80.957014096,40.0086110103,176798
176799,176799,0,-80.8986656653,40.0015632607,176799
176800,176800,0,-80.8403287147,39.9944884846,176800
176801,176801,0,-80.7820032847,39.9873866902,176801
176802,176802,0,-80.7236894159,39.9802578855,176802
177587,177587,0,-82.7043386431,40.2516305991,177587
177588,177588,0,-82.6456293927,40.2453933041,177588
177589,177589,0,-82.5869304014,40.2391287339,177589
177590,177590,0,-82.5282417113,40.2328368958,177590
177591,177591,0,-82.4695633646,40.2265177974,177591
177592,177592,0,-82.4108954031,40.2201714459,177592
177593,177593,0,-82.3522378688,40.2137978489,177593
177596,177596,0,-82.1763282483,40.1945136597,177596
177597,177597,0,-82.1177128416,40.1880311557,177597
177598,177598,0,-82.0591080711,40.1815214438,177598
177599,177599,0,-82.0005139786,40.1749845318,177599
177600,177600,0,-81.9419306056,40.1684204272,177600
177601,177601,0,-81.8833579938,40.1618291377,177601
177602,177602,0,-81.8247961846,40.1552106711,177602
177603,177603,0,-81.7662452195,40.148565035,177603
177604,177604,0,-81.70770514,40.1418922372,177604
177605,177605,0,-81.6491759875,40.1351922856,177605
177606,177606,0,-81.5906578032,40.1284651878,177606
177607,177607,0,-81.5321506284,40.1217109518,177607
177608,177608,0,-81.4736545045,40.1149295855,177608
177609,177609,0,-81.4151694725,40.1081210966,177609
177610,177610,0,-81.3566955736,40.1012854932,177610
177611,177611,0,-81.2982328489,40.0944227831,177611
177612,177612,0,-81.2397813393,40.0875329744,177612
177613,177613,0,-81.181341086,40.080616075,177613
177614,177614,0,-81.1229121299,40.073672093,177614
177615,177615,0,-81.0644945117,40.0667010364,177615
177616,177616,0,-81.0060882724,40.0597029133,177616
177617,177617,0,-80.9476934528,40.0526777318,177617
177618,177618,0,-80.8893100935,40.0456255,177618
177619,177619,0,-80.8309382353,40.0385462261,177619
177620,177620,0,-80.7725779188,40.0314399182,177620
177621,177621,0,-80.7142291845,40.0243065847,177621
178408,178408,0,-82.8135853559,40.3082257025,178408
178409,178409,0,-82.7548201082,40.3020389993,178409
178410,178410,0,-82.6960650542,40.29582499,178410
178411,178411,0,-82.6373202359,40.2895836817,178411
178412,178412,0,-82.5785856958,40.283315082,178412
178413,178413,0,-82.5198614759,40.2770191982,178413
178414,178414,0,-82.4611476183,40.2706960377,178414
178415,178415,0,-82.4024441652,40.264345608,178415
178416,178416,0,-82.3437511585,40.2579679166,178416
178417,178417,0,-82.2850686401,40.251562971,178417
178418,178418,0,-82.2263966522,40.2451307787,178418
178419,178419,0,-82.1677352364,40.2386713472,178419
178420,178420,0,-82.1090844347,40.2321846842,178420
178421,178421,0,-82.0504442888,40.2256707973,178421
178423,178423,0,-81.9331961315,40.2125613824,178423
178424,178424,0,-81.8745882034,40.2059658697,178424
178425,178425,0,-81.8159910978,40.1993431639,178425
178426,178426,0,-81.7574048562,40.1926932726,178426
178427,178427,0,-81.6988295202,40.1860162037,178427
178428,178428,0,-81.6402651312,40.179311965,178428
178429,178429,0,-81.5817117305,40.1725805642,178429
178430,178430,0,-81.5231693597,40.1658220094,178430
178432,178432,0,-81.4061178723,40.1522234688,178432
178433,178433,0,-81.3476088383,40.1453834989,178433
178434,178434,0,-81.289110999,40.1385164067,178434
178435,178435,0,-81.2306243954,40.1316221999,178435
178436,178436,0,-81.1721490686,40.1247008868,178436
178437,178437,0,-81.1136850597,40.1177524753,178437
178438,178438,0,-81.0552324096,40.1107769735,178438
178439,178439,0,-80.9967911591,40.1037743895,178439
178440,178440,0,-80.9383613492,40.0967447315,178440
178441,178441,0,-80.8799430207,40.0896880075,178441
178442,178442,0,-80.8215362142,40.0826042257,178442
178443,178443,0,-80.7631409705,40.0754933945,178443
178444,178444,0,-80.7047573303,40.0683555219,178444
179232,179232,0,-82.8053728075,40.3524286789,179232
179233,179233,0,-82.7465719122,40.3462379862,179233
179234,179234,0,-82.6877812293,40.3400199709,179234
179235,179235,0,-82.6290008012,40.3337746405,179235
179236,179236,0,-82.57023067,40.3275020022,179236
179237,179237,0,-82.5114708781,40.3212020635,179237
179238,179238,0,-82.4527214677,40.314874832,179238
179239,179239,0,-82.3939824808,40.3085203149,179239
179240,179240,0,-82.3352539597,40.3021385199,179240
179241,179241,0,-82.2765359462,40.2957294545,179241
179242,179242,0,-82.2178284825,40.2892931262,179242
179243,179243,0,-82.1591316105,40.2828295426,179243
179244,179244,0,-82.100445372,40.2763387113,179244
179245,179245,0,-82.041769809,40.26982064,179245
179246,179246,0,-81.9831049632,40.2632753363,179246
179247,179247,0,-81.9244508765,40.256702808,179247
179248,179248,0,-81.8658075905,40.2501030626,179248
179249,179249,0,-81.8071751469,40.2434761081,179249
179250,179250,0,-81.7485535873,40.2368219522,179250
179251,179251,0,-81.6899429533,40.2301406026,179251
179252,179252,0,-81.6313432864,40.2234320672,179252
179253,179253,0,-81.5727546281,40.2166963538,179253
179254,179254,0,-81.5141770198,40.2099334705,179254
179256,179256,0,-81.3970551186,40.1963262251,179256
179257,179257,0,-81.3385109084,40.1894818791,179257
179258,179258,0,-81.2799779133,40.1826103948,179258
179259,179259,0,-81.2214561746,40.1757117803,179259
179260,179260,0,-81.1629457334,40.1687860436,179260
179261,179261,0,-81.1044466308,40.1618331927,179261
179262,179262,0,-81.0459589077,40.1548532358,179262
179263,179263,0,-80.9874826053,40.1478461809,179263
179264,179264,0,-80.9290177643,40.1408120363,179264
179265,179265,0,-80.8705644257,40.1337508101,179265
179266,179266,0,-80.8121226303,40.1266625105,179266
179267,179267,0,-80.7536924188,40.1195471458,179267
179268,179268,0,-80.695273832,40.1124047241,179268
180056,180056,0,-82.7971500892,40.3966322914,180056
180057,180057,0,-82.7383135038,40.3904376001,180057
180058,180058,0,-82.6794871498,40.3842155699,180058
180059,180059,0,-82.6206710694,40.3779662082,180059
180060,180060,0,-82.561865305,40.3716895223,180060
180061,180061,0,-82.5030698989,40.3653855198,180061
180062,180062,0,-82.4442848935,40.3590542079,180062
180063,180063,0,-82.3855103308,40.3526955944,180063
180065,180065,0,-82.2679927025,40.3398964921,180065
180066,180066,0,-82.2092497211,40.3334560185,180066
180067,180067,0,-82.1505173509,40.3269882735,180067
180068,180068,0,-82.0917956338,40.3204932646,180068
180069,180069,0,-82.0330846119,40.3139709995,180069
180070,180070,0,-81.9743843269,40.3074214859,180070
180071,180071,0,-81.9156948208,40.3008447315,180071
180072,180072,0,-81.8570161352,40.2942407441,180072
180073,180073,0,-81.798348312,40.2876095314,180073
180074,180074,0,-81.7396913929,40.2809511012,180074
180075,180075,0,-81.6810454194,40.2742654613,180075
180076,180076,0,-81.6224104331,40.2675526196,180076
180077,180077,0,-81.5637864757,40.2608125841,180077
180078,180078,0,-81.5051735886,40.2540453625,180078
180080,180080,0,-81.387981191,40.240429393,180080
180081,180081,0,-81.3294017632,40.233580661,180081
180082,180082,0,-81.2708335713,40.2267047749,180082
180083,180083,0,-81.2122766563,40.2198017427,180083
180084,180084,0,-81.1537310596,40.2128715725,180084
180085,180085,0,-81.0951968222,40.2059142724,180085
180086,180086,0,-81.0366739853,40.1989298504,180086
